MPS Current Set,Current B,Target B,Target MPS Set
279481.654320988,-1.056,0.509015,-134298.197530864
279481.654320988,-1.056,0.581025,-153187.456790123
279481.654320988,-1.056,0.65265,-172002.666666667
279481.654320988,-1.056,0.723705,-190743.827160494
279481.654320988,-1.056,0.79428,-209410.938271605
279481.654320988,-1.056,0.86435,-228004
279481.654320988,-1.056,0.933795,-246523.012345679
279481.654320988,-1.056,1.002505,-264967.975308642
279481.654320988,-1.056,1.07062,-283338.888888889
259037.358024691,-0.9844,-0.91101,238667.111111111
259037.358024691,-0.9844,-0.83662,218370.913580247
259037.358024691,-0.9844,-0.761575,198148.765432099
259037.358024691,-0.9844,-0.686175,178000.666666667
259037.358024691,-0.9844,-0.610385,157926.617283951
259037.358024691,-0.9844,-0.53453,137926.617283951
259037.358024691,-0.9844,-0.4587,118000.666666667
259037.358024691,-0.9844,-0.382985,98148.7654320988
259037.358024691,-0.9844,-0.30728,78370.9135802469
259037.358024691,-0.9844,-0.231755,58667.1111111112
259037.358024691,-0.9844,-0.156265,39037.3580246913
259037.358024691,-0.9844,-0.08097,19481.6543209877
259037.358024691,-0.9844,-0.006315,0
259037.358024691,-0.9844,0.068365,-19407.6049382717
259037.358024691,-0.9844,0.14271,-38741.1604938272
259037.358024691,-0.9844,0.21683,-58000.6666666667
259037.358024691,-0.9844,0.290395,-77186.1234567901
259037.358024691,-0.9844,0.36376,-96297.5308641976
259037.358024691,-0.9844,0.436695,-115334.888888889
259037.358024691,-0.9844,0.509015,-134298.197530864
259037.358024691,-0.9844,0.581025,-153187.456790123
259037.358024691,-0.9844,0.65265,-172002.666666667
259037.358024691,-0.9844,0.723705,-190743.827160494
259037.358024691,-0.9844,0.79428,-209410.938271605
259037.358024691,-0.9844,0.86435,-228004
259037.358024691,-0.9844,0.933795,-246523.012345679
259037.358024691,-0.9844,1.002505,-264967.975308642
259037.358024691,-0.9844,1.07062,-283338.888888889
238667.111111111,-0.91101,-0.83662,218370.913580247
238667.111111111,-0.91101,-0.761575,198148.765432099
238667.111111111,-0.91101,-0.686175,178000.666666667
238667.111111111,-0.91101,-0.610385,157926.617283951
238667.111111111,-0.91101,-0.53453,137926.617283951
238667.111111111,-0.91101,-0.4587,118000.666666667
238667.111111111,-0.91101,-0.382985,98148.7654320988
238667.111111111,-0.91101,-0.30728,78370.9135802469
238667.111111111,-0.91101,-0.231755,58667.1111111112
238667.111111111,-0.91101,-0.156265,39037.3580246913
238667.111111111,-0.91101,-0.08097,19481.6543209877
238667.111111111,-0.91101,-0.006315,0
238667.111111111,-0.91101,0.068365,-19407.6049382717
238667.111111111,-0.91101,0.14271,-38741.1604938272
238667.111111111,-0.91101,0.21683,-58000.6666666667
238667.111111111,-0.91101,0.290395,-77186.1234567901
238667.111111111,-0.91101,0.36376,-96297.5308641976
238667.111111111,-0.91101,0.436695,-115334.888888889
238667.111111111,-0.91101,0.509015,-134298.197530864
238667.111111111,-0.91101,0.581025,-153187.456790123
238667.111111111,-0.91101,0.65265,-172002.666666667
238667.111111111,-0.91101,0.723705,-190743.827160494
238667.111111111,-0.91101,0.79428,-209410.938271605
238667.111111111,-0.91101,0.86435,-228004
238667.111111111,-0.91101,0.933795,-246523.012345679
238667.111111111,-0.91101,1.002505,-264967.975308642
238667.111111111,-0.91101,1.07062,-283338.888888889
218370.913580247,-0.83662,-0.761575,198148.765432099
218370.913580247,-0.83662,-0.686175,178000.666666667
218370.913580247,-0.83662,-0.610385,157926.617283951
218370.913580247,-0.83662,-0.53453,137926.617283951
218370.913580247,-0.83662,-0.4587,118000.666666667
218370.913580247,-0.83662,-0.382985,98148.7654320988
218370.913580247,-0.83662,-0.30728,78370.9135802469
218370.913580247,-0.83662,-0.231755,58667.1111111112
218370.913580247,-0.83662,-0.156265,39037.3580246913
218370.913580247,-0.83662,-0.08097,19481.6543209877
218370.913580247,-0.83662,-0.006315,0
218370.913580247,-0.83662,0.068365,-19407.6049382717
218370.913580247,-0.83662,0.14271,-38741.1604938272
218370.913580247,-0.83662,0.21683,-58000.6666666667
218370.913580247,-0.83662,0.290395,-77186.1234567901
218370.913580247,-0.83662,0.36376,-96297.5308641976
218370.913580247,-0.83662,0.436695,-115334.888888889
218370.913580247,-0.83662,0.509015,-134298.197530864
218370.913580247,-0.83662,0.581025,-153187.456790123
218370.913580247,-0.83662,0.65265,-172002.666666667
218370.913580247,-0.83662,0.723705,-190743.827160494
218370.913580247,-0.83662,0.79428,-209410.938271605
218370.913580247,-0.83662,0.86435,-228004
218370.913580247,-0.83662,0.933795,-246523.012345679
218370.913580247,-0.83662,1.002505,-264967.975308642
218370.913580247,-0.83662,1.07062,-283338.888888889
198148.765432099,-0.761575,-0.686175,178000.666666667
198148.765432099,-0.761575,-0.610385,157926.617283951
198148.765432099,-0.761575,-0.53453,137926.617283951
198148.765432099,-0.761575,-0.4587,118000.666666667
198148.765432099,-0.761575,-0.382985,98148.7654320988
198148.765432099,-0.761575,-0.30728,78370.9135802469
198148.765432099,-0.761575,-0.231755,58667.1111111112
198148.765432099,-0.761575,-0.156265,39037.3580246913
198148.765432099,-0.761575,-0.08097,19481.6543209877
198148.765432099,-0.761575,-0.006315,0
198148.765432099,-0.761575,0.068365,-19407.6049382717
198148.765432099,-0.761575,0.14271,-38741.1604938272
198148.765432099,-0.761575,0.21683,-58000.6666666667
198148.765432099,-0.761575,0.290395,-77186.1234567901
198148.765432099,-0.761575,0.36376,-96297.5308641976
198148.765432099,-0.761575,0.436695,-115334.888888889
